"","label_results","0-2 months","2-4 months","4-6 months","6-8 months","8-10 months","10-12 months","12-14 months","14-16 months","16-18 months","18-20 months","20-22 months","22-24 months","2-5 years","5+ years"
"abs change in incidence per 1000PY","correcting maternal vaccine inital",14.81,6.81,2.96,6.32,3.73,1.92,0,0,0,0,0,0,0,0
"% change in incidence per 1000PY","correcting maternal vaccine inital",47.51,28.05,16.56,9.79,5.78,3.41,0,0,0,0,0,0,0,0
