age_months,recovery
0,0.01010101
2,0.011494253
4,0.0125
6,0.013513514
8,0.014705882
10,0.016129032
12,0.01754386
14,0.018867925
16,0.02
18,0.02173913
20,0.023255814
22,0.024390244
24,0.035714286
60,0.045454545
